"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"K857J7JH","webpage","","","Comparing the Performance of FCBF, Chi-Square and Relief-F Filter Feature Selection Algorithms in Educational Data Mining-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000614618300015","","","2023-01-03 17:20:08","2023-01-03 17:20:08","2023-01-03 17:20:08","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\RC9TMXXP\WOS000614618300015.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33ZSZQBT","webpage","","","Role of FCBF Feature Selection in Educational Data Mining-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000580322000009","","","2023-01-03 17:20:10","2023-01-03 17:20:10","2023-01-03 17:20:10","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\D5ES7V3E\WOS000580322000009.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGZUAWH9","webpage","","","Chicken Swarm-Based Feature Subset Selection with Optimal Machine Learning Enabled Data Mining Approach-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000823686500001","","","2023-01-03 17:20:12","2023-01-03 17:20:12","2023-01-03 17:20:12","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\I5HUBB3M\WOS000823686500001.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IX6WE6YI","webpage","","","Enhancing data pipelines for forecasting student performance: integrating feature selection with cross-validation-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000686647300001","","","2023-01-03 17:20:14","2023-01-03 17:20:14","2023-01-03 17:20:14","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\SNY2EM5T\WOS000686647300001.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H73A69A8","webpage","","","Feature Selection with Optimal Stacked Sparse Autoencoder for Data Mining-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000779564300024","","","2023-01-03 17:20:16","2023-01-03 17:20:16","2023-01-03 17:20:16","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\4ULIEBRA\WOS000779564300024.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4C6J5K5W","webpage","","","Utilizing Feature Selection in Identifying Predicting Factors of Student Retention-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000499999000035","","","2023-01-03 17:20:18","2023-01-03 17:20:18","2023-01-03 17:20:18","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\F3RGWG95\WOS000499999000035.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J8AFZYC7","webpage","","","Predicting Student Performance Using Feature Selection Algorithms for Deep Learning Models-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000835713800001","","","2023-01-03 17:20:19","2023-01-03 17:20:19","2023-01-03 17:20:19","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\6GD3PLLJ\WOS000835713800001.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQ945UT4","webpage","","","Educational data mining for predicting students' academic performance using machine learning algorithms-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000706875800021","","","2023-01-03 17:20:21","2023-01-03 17:20:21","2023-01-03 17:20:21","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\3XEIYNA2\WOS000706875800021.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5R5E86E8","webpage","","","Discriminable Multi-Label Attribute Selection for Pre-Course Student Performance Prediction-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000712866800001","","","2023-01-03 17:20:23","2023-01-03 17:20:23","2023-01-03 17:20:23","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\6KAXK9DP\WOS000712866800001.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XF8ZXLDZ","webpage","","","Applying Attribute Selection Algorithms in Academic Performance Prediction-Web of Science Core Collection","","","","","https://www-webofscience-com.am.e-nformation.ro/wos/woscc/full-record/WOS:000674929900078","","","2023-01-03 17:20:28","2023-01-03 17:20:28","2023-01-03 17:20:28","","","","","","","","","","","","","","","","","","","","","","","C:\Users\nasta\Zotero\storage\TPVWDXFX\WOS000674929900078.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
